"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"2526","sp4175","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",NA,NA,1.11343544802304,0.201455238531819,0.231998990996702,0.868345321961695,0.385205318099433,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2527","sp4176","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA,NA,1.11345019783206,-0.29637452396398,0.216393382092416,-1.36960992567418,0.170808699546496,0.295948323717968,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2528","sp4178","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter",NA,1.1134846140531,-0.39010525528428,0.214383389382307,-1.81966175834925,0.0688105304018945,0.161850860099322,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2529","sp4179","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA,1.11343544802304,-0.390084490560841,0.218291009686121,-1.7869929280264,0.0739386315856644,0.168855762893508,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2530","sp4180","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA,1.11343544802304,-0.390084490560841,0.218291009686121,-1.7869929280264,0.0739386315856644,0.168855762893508,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2531","sp4181","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata",NA,1.11343544802304,-0.390084490560841,0.218291009686121,-1.7869929280264,0.0739386315856644,0.168855762893508,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2532","sp4182","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Persicitalea",NA,1.11352394687715,0.201464713045577,0.231998777525797,0.868386959595832,0.385182531259004,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2533","sp4183","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA,NA,1.11352394687715,0.201464713045577,0.231998777525797,0.868386959595832,0.385182531259004,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2534","sp4184","Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",NA,NA,1.11343544802304,0.201455238531819,0.231998990996702,0.868345321961695,0.385205318099433,0.49284400066501,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
"2535","sp4187","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,1.11352394687715,0.201466152159352,0.228713401134635,0.880867282633589,0.378389657618724,0.490641742678317,"Terephthalamide Enriched","Not_Enriched","Not Enriched"
