"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","threshold","Comparison","Enriched_Genus","Where_Enriched","Genera"
"494",0,0,0,0,1,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"495",0.480045267518343,2.11612481299117,1.93776200621225,1.09204577559428,0.274812981413389,0.405970509901929,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"496",0.232124855131996,-1.37660335357692,2.20202200792955,-0.625154221265603,0.531869844176016,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA,"Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"497",0.297593455413148,-1.97150201821787,2.91218142723845,-0.67698461358824,0.498415716726002,NA,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,"Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"498",0.0549510281340973,-0.634786021213515,2.91422032938726,-0.217823619858895,0.827566540426554,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"499",0.0534132709032768,-0.477522936386132,2.91422877919476,-0.163859110786106,0.869842056805588,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"500",0.0651732131577172,-0.634786021213515,2.91422032938726,-0.217823619858895,0.827566540426554,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"501",0.126334574208694,-0.924557060147561,2.91407696457651,-0.317272697799841,0.75103669200178,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"502",0.0250364039969261,-0.461850296462911,2.91431148170722,-0.158476641691147,0.874081225290227,NA,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
"503",0.112637921163848,-1.21802136543278,2.91377528697506,-0.41802172284098,0.67593123490782,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","Not_Enriched","Terephthalamide vs. Terephthalate","Not Enriched","Not_Enriched","Not Enriched"
